12-MAR-25|6520|1338|3003495428|R|35|0|122.15
12-MAR-25|6520|1338|4134|R|8|12.33|30.7
12-MAR-25|6520|1338|4364620758|R|1|0|6.99
12-MAR-25|6520|1338|22574000000|R|39|25.5|229.12
12-MAR-25|6520|1338|3022306200|R|8|0|26.7
12-MAR-25|6520|1338|7347200124|R|4|0|33.16
12-MAR-25|6513|1492|3003407477|R|21|0|20.79
12-MAR-25|6515|1335|71592318000|R|8|0|33.52
12-MAR-25|6515|1335|1370044455|R|1|0|13.99
12-MAR-25|229|383|61300871512|R|13|0|47.69
12-MAR-25|440|306|2400016719|R|11|0|29.59
12-MAR-25|440|306|2400056667|R|7|0|12.53
12-MAR-25|440|306|2430004538|R|24|0|60
12-MAR-25|440|306|2500004769|R|104|0|258.96
12-MAR-25|440|306|3003494004|R|14|0|53.06
12-MAR-25|440|306|4133500054|R|1|0|3.79
12-MAR-25|230|3017|4100000301|R|24|0|59.76
12-MAR-25|230|3017|79192804381|R|14|0|14
